Date,Price,Open,High,Low,Change %,Vol.
2018-03-15,158.14,157.85,158.24,157.81,0.13%,606430
2018-03-16,158.19,158.24,158.35,157.98,0.03%,466020
2018-03-19,158.23,158.16,158.30,157.67,0.03%,655360
2018-03-20,158.06,158.12,158.17,157.91,-0.11%,501560
2018-03-21,157.88,158.00,158.10,157.75,-0.11%,490660
2018-03-22,158.96,158.09,159.00,158.05,0.68%,948820
2018-03-23,158.87,158.90,159.01,158.55,-0.06%,714820
2018-03-26,158.93,158.87,158.95,158.59,0.04%,539220
2018-03-27,159.23,158.77,159.42,158.73,0.19%,733470
2018-03-28,159.31,159.30,159.69,159.12,0.05%,824210
2018-03-29,159.43,159.24,159.48,159.14,0.08%,578410
2018-04-03,159.30,159.57,159.61,159.07,-0.08%,702620
2018-04-04,159.47,159.28,159.66,159.22,0.11%,705990
2018-04-05,159.11,159.22,159.26,158.89,-0.23%,720300
2018-04-06,159.50,159.24,159.57,159.15,0.25%,531410
2018-04-09,159.30,159.44,159.49,159.24,-0.13%,487940
2018-04-10,159.05,159.34,159.59,159.00,-0.16%,877260
2018-04-11,159.50,159.17,159.65,159.17,0.28%,665490
2018-04-12,159.29,159.40,159.52,159.15,-0.13%,659300
2018-04-13,159.34,159.29,159.37,158.95,0.03%,600230
2018-04-16,159.15,159.24,159.27,158.74,-0.12%,622220
2018-04-17,159.34,159.09,159.45,158.95,0.12%,584950
2018-04-18,159.05,159.26,159.55,158.96,-0.18%,753070
2018-04-19,158.17,159.03,159.04,158.06,-0.55%,1090000
2018-04-20,158.13,158.28,158.40,157.90,-0.03%,744540
2018-04-23,157.80,157.88,157.97,157.62,-0.21%,861850
2018-04-24,157.76,157.88,158.04,157.43,-0.03%,759490
2018-04-25,157.72,157.88,157.88,157.45,-0.03%,741000
2018-04-26,158.31,157.79,158.46,157.74,0.37%,752360
2018-04-27,158.66,158.38,158.78,158.38,0.22%,647940
2018-04-30,158.74,158.64,158.91,158.38,0.05%,606830
2018-05-02,158.59,158.68,158.70,158.44,-0.09%,612130
2018-05-03,159.26,158.65,159.35,158.43,0.42%,894940
2018-05-04,159.08,159.14,159.39,159.05,-0.11%,626750
2018-05-07,159.31,159.10,159.42,159.07,0.14%,254130
2018-05-08,158.85,159.25,159.28,158.77,-0.29%,547050
2018-05-09,158.85,158.79,158.90,158.52,0.00%,585280
2018-05-10,159.07,158.84,159.25,158.81,0.14%,572670
2018-05-11,158.85,158.92,159.16,158.79,-0.14%,421370
2018-05-14,158.14,158.98,159.01,158.12,-0.45%,747330
2018-05-15,157.76,158.13,158.17,157.61,-0.24%,832070
2018-05-16,158.18,157.90,158.50,157.84,0.27%,1090000
2018-05-17,157.87,158.02,158.39,157.73,-0.20%,905260
2018-05-18,158.67,157.82,158.82,157.80,0.51%,777690
2018-05-21,159.24,158.64,159.50,158.61,0.36%,803280
2018-05-22,158.90,159.38,159.43,158.74,-0.21%,958510
2018-05-23,159.76,159.06,159.84,159.03,0.54%,1200000.00
2018-05-24,160.22,159.70,160.29,159.31,0.29%,1060000
2018-05-25,161.02,160.09,161.34,160.05,0.50%,1330000
2018-05-28,161.93,160.75,162.00,160.29,0.57%,857650
2018-05-29,162.80,161.86,164.15,161.79,0.54%,1720000
2018-05-30,162.02,163.04,163.06,161.41,-0.48%,1630000
2018-05-31,162.14,161.75,162.23,160.95,0.07%,1470000
2018-06-01,161.46,161.67,161.83,160.99,-0.42%,1230000
2018-06-04,160.89,161.24,161.42,160.78,-0.35%,1740000
2018-06-05,161.46,160.82,161.68,160.81,0.35%,1890000
